SKU,Catalogue Code,Product Name,Category,Brand,Sale Price,RRP,Product Features,Marketing Text,Category Marketing Text,Width,Depth,Height,Product Weight (kg),Material,Finish,Colour,Bespoke Fabric Product,Seat Width,Seat Depth,Seat Height,Back Type,Back Width,Back Height,Arms Included,Arm Type,Arms Removable,Arms Width,Arms Height,Mech: Gas Height Adjustment,Headrest Included,Headrest Type,Adjustable Headrest,Height Adjustable Back,Mech: Permanent Contact Backrest,Mech: Independent Seat & Back,Integral Lumbar Support,Adjustable Lumbar Support,Mech: Seat Slide,Mech: Seat Angle Adjustment,Mech: Seat Depth Adjustment,Mech: Synchro Tilt,Mech: Infinite Lock Mechanism,Mech: Lock Tilt Motion,Mech: Knee Tilt,Mech: Anti-Shock,Mech: Tilt Tension Adjustment,Mech: Auto Tilt Tensioner,Recommended Usage (Hours),Stackable,Maximum Weight Capacity (kg),Seat Colour,Back Colour,Frame Colour,Seat Material,Back Material,Frame Material,MOQ,Standard Delivery Time,Product Returnable,Self Assembly,Next Day Cost,7-10 Day Install Cost,3-5 Day Prebuild Cost,Next Day Prebuild Cost,Mechanical Components Guarantee,Fabric and Foam Guarantee,Country of Origin,Test Certificates,Add-On 1,Add-On 2,Add-On 3,Add-On 4,Add-On 5,Add-On 6,Add-On 7,Add-On 8,Commodity Code,ISPC Code,EAN Barcode,Last Updated
AC000033,GASLIFT11,Gas Lift 11 Black,Accessory,Dynamic,,32, High pressure gas assisted height lift  Safety chamber incorporated  Sprung soft sit feature  Large pump action button for positive operation  Recommended to be used along with glides and a footring,Premium quality high pressure gas lift struts to provide easy height adjustment to our chairs,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,5,Metal,Black,Black,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,China ,,,,,,,,,,94019080,60232,5.06027E+12,03/06/2024
AC000034,GASLIFT15,Gas Lift 15 Black,Accessory,Dynamic,,42, High pressure gas assisted height lift  Safety chamber incorporated  Sprung soft sit feature  Large pump action button for positive operation  Recommended to be used along with glides and a footring,Premium quality high pressure gas lift struts to provide easy height adjustment to our chairs,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,5,Metal,Black,Black,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,China ,,,,,,,,,,94019080,60232,5.06027E+12,03/06/2024
AC000035,GASLIFTCH7,Gas Lift 7 Chrome,Accessory,Dynamic,,21, High pressure gas assisted height lift  Safety chamber incorporated  Sprung soft sit feature  Large pump action button for positive operation,Premium quality high pressure gas lift struts to provide easy height adjustment to our chairs,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,5,Metal,Chrome,Chrome,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,China ,,,,,,,,,,94019080,60232,5.05585E+12,03/06/2024
AC000036,GASLIFTCH9,Gas Lift 9 Chrome,Accessory,Dynamic,,27, High pressure gas assisted height lift  Safety chamber incorporated  Sprung soft sit feature  Large pump action button for positive operation,Premium quality high pressure gas lift struts to provide easy height adjustment to our chairs,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,5,Metal,Chrome,Chrome,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,China ,,,,,,,,,,94019080,60232,5.05585E+12,03/06/2024
AC000037,SEATSLIDE,Seat Slide + 4 x M6 *10mm Bolts,Accessory,Dynamic,,49, Fits many Dynamic chairs  Converts chair to have a sliding seat facility  Ergonomic - reduces pressure on back of legs  Single lever easy operation,A super smooth sliding mechanisms that can be added to many chairs to create an ergo sliding seat feature,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,10,Metal & Plastic,Black,Black,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,Great Britain,,,,,,,,,,94019080,60232,5.06027E+12,03/06/2024
AC000038,JNADJARM,Jackson Height Adjustable Arms,Accessory,Jackson,,61, Jackson High Back Height Adjustable Arms,Jackson brings you a series of exciting leather look Managers armchairs. From the modern slim-line look to deeply padded comfort - there is something for every taste. Covered in the latest man-made materials that provide the look of leather but with the advantages of a durable and consistent finish.,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,14,Soft Bonded Leather,Black,Black,false,,,,,,,true,Height Adjustable,false,,,,false,,,,,,,,,,,,,,,,,,,false,,,,,,,,1,3-May,Yes,Yes,4.95,,,,1 Year,1 Year,China ,,,,,,,,,,94019080,60232,5.05631E+12,03/06/2024
AC000039,DRHR,Denver Headrest Only,Accessory,Denver,,39, Denver Head Rest  Suitable for use in both the office and home working environments,Our castors give you smooth travel on the average of eight miles a year an office chair moves,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",290,140,130,2,Fabric,Black,Black,false,,,,,,,false,,,,,,true,Height Adjustable,true,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,Yes,4.95,,,,3 Years,1 Year,China ,,,,,,,,,,94019080,60232,5.05618E+12,03/06/2024
AC000040,ZRCOAL02HR,Zure Black Shell Charcoal Mesh Headrest,Accessory,Zure,,98, Height adjustable feature  Shell construction continues design signature of chair  Curved for comfort,Futuristic headrest design to perfectly complement the Zure distinctive design signature,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",195,140,195,0.9,Mesh,Charcoal,Charcoal,false,,,,,,,false,,,,,,true,Adjustable,true,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,Yes,4.95,,,,5 Years,2 Years,China ,BS 5852 Ignition Source 5 (Crib 5); EN 1021-1; EN 1021-2,,,,,,,,,94019080,60232,5.05585E+12,03/06/2024
AC000041,EOHR,Ergo Twist/ Click Black Mesh Headrest,Accessory,Ergo,,70, Rolled shape of headrest provides optimum support  Adjustable ratchet design  Upholstery to match chair,Posture excellence is achieved by the Ergo Twist and its ground-breaking adaptive backrest pivot system.  The Ergo Twist sets new standards in design and posture support.,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",290,260,160,4.5,Mesh,Black,Black,false,,,,,,,false,,,,,,true,Height Adjustable,true,,,,,,,,,,,,,,,,8,false,135,,,,,,,1,3-May,Yes,Yes,4.95,,,,5 Years,2 Years,China ,,OP000251,OP000250,OP000252,OP000253,,,,,94019080,60232,5.05631E+12,03/06/2024
AC000045,DEOADJ,Eclipse Plus Height Adjustable and Folding Arm,Accessory,Eclipse,,72,,,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,2.7,Nylon,Black,Black,false,,,,,,,true,Multi Adjustable,true,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,Yes,4.95,,,,1 Year,1 Year,China ,,OP000163,OP000039,OP000026,OP000031,,,,,94019080,60232,5.05631E+12,03/06/2024
AC000046,CHIROHADJARM,Chiro Height Adjustable Arm,Accessory,Chiro,,64, Optional height adjustable armrests  Padded arm pad  ANSI/BIFMAX 5.1-2017 Strength and Endurance tested,An ingenious feature armrest that is height adjustable and also swivels back for maximum comfort for close at desk work.,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,0.5,Nylon,Black ,Black ,false,,,,,,,true,Height Adjustable,true,,,,false,,,,,,,,,,,,,,,,,,24,false,,,,,,,,1,3-May,Yes,Yes,4.95,,,,1 Year,1 Year,China,,KCUP1496,OP000245,OP000246,OP000247,OP000248,,,,94019080,60232,5.05618E+12,03/06/2024
AC000048,GASLIFT8,Gas Lift 8 Black,Accessory,Dynamic,,25, High pressure gas assisted height lift  Safety chamber incorporated  Sprung soft sit feature  Large pump action button for positive operation,Premium quality high pressure gas lift struts to provide easy height adjustment to our chairs,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,5,Metal,Black,Black,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,China ,,,,,,,,,,94019080,60232,5.05585E+12,03/06/2024
AC000049,GASLIFTCH8,Gas Lift 8 Chrome,Accessory,Dynamic,,31, High pressure gas assisted height lift  Safety chamber incorporated  Sprung soft sit feature  Large pump action button for positive operation,Premium quality high pressure gas lift struts to provide easy height adjustment to our chairs,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,5,Metal,Chrome,Chrome,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,China ,,,,,,,,,,94019080,60232,5.05585E+12,03/06/2024
AC000050,GASLIFTCH11,Gas Lift 11 Chrome,Accessory,Dynamic,,42, High pressure gas assisted height lift  Safety chamber incorporated  Sprung soft sit feature  Large pump action button for positive operation  Recommended to be used along with glides and a footring,Premium quality high pressure gas lift struts to provide easy height adjustment to our chairs,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,5,Metal,Chrome,Chrome,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,China ,,,,,,,,,,94019080,60232,5.05585E+12,03/06/2024
AC000051,GASLIFTCH15,Gas Lift 15 Chrome,Accessory,Dynamic,,55, High pressure gas assisted height lift  Safety chamber incorporated  Sprung soft sit feature  Large pump action button for positive operation  Recommended to be used along with glides and a footring,Premium quality high pressure gas lift struts to provide easy height adjustment to our chairs,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,5,Metal,Chrome,Chrome,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,China ,,,,,,,,,,94019080,60232,5.05585E+12,03/06/2024
AC000052,GASLIFT7HD,Gas Lift 7 Black HD,Accessory,Dynamic,,105, High pressure gas assisted height lift  Safety chamber incorporated  Sprung soft sit feature  Large pump action button for positive operation,Premium quality high pressure gas lift struts to provide easy height adjustment to our chairs,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,5,Metal,Black,Black,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,China ,,,,,,,,,,94019080,60232,5.05631E+12,03/06/2024
AC000053,GASLIFTMEMORYRETURN,Memory Return Gas Lift,Accessory,Dynamic,,50, High pressure gas assisted height lift  Safety chamber incorporated  Sprung soft sit feature  Large pump action button for positive operation,Premium quality high pressure gas lift struts to provide easy height adjustment to our chairs,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,5,Metal,Black,Black,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,China ,,,,,,,,,,94019080,60232,5.06027E+12,03/06/2024
AC000054,BRAKEUNLOADEDCASTORS,Brake Unloaded Castors (Set of 5),Accessory,Dynamic,,27," Twin wheeled specialist castors  Ideal for hard, vinyl, epoxy, wood or concrete floors  Only brake while the user is off of the chair","Ingenious design means castors move smoothly when user is not sitting on the chair, and are hard to move when weighted.","Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,3.2,Plastic,Black,Black,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,China ,,,,,,,,,,94039990,60232,5.05631E+12,03/06/2024
AC000055,GLIDECHROME,Chrome Glides (Set of 5),Accessory,Dynamic,,57," Designed for use when constant movement is not required  Flat, smooth base for stability  Stops chair moving when seated, can be used easily when not seated",An attractive chrome look fixed foot for use when less ease of movement is required when seated,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,3.5,Plastic,Chrome,Chrome,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,Great Britain,,,,,,,,,,94039010,60232,5.05618E+12,03/06/2024
AC000056,ESDCASTOR,Antistatic ESD Castors (Set of 5),Accessory,Dynamic,,79, Antistatic specialist castors,n/a,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,3.2,Plastic,Black,Black,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,Great Britain,,,,,,,,,,94039990,60232,5.05631E+12,03/06/2024
AC000060,ISOCLIP,ISO Linking Clip,Accessory,ISO,,6, Fits tube with dimensions 15 x 30mm  Easily link two or more chairs together in a row  Recommend 2 clips on each link for added stability,Connect your ISO chairs with the ISO Linking Clip.,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",140,25,25,0.2,Nylon,Black,Black,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,Nylon,1,3-May,Yes,No,4.95,,,,1 Year,1 Year,Italy,,,,,,,,,,9403105100,60270,5.05585E+12,03/06/2024
AC000061,CHROMEBASE,Chrome 5-Star Base,Accessory,Dynamic,,58, SOLD SEPARATELY: Castors and Gas Lift,5-Star base finished in elegant chrome.,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,,Chrome,Chrome,Chrome,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,false,150,,,Chrome,,,Chrome Metal,1,3-May,Yes,No,4.95,15.95,,,1 Year,1 Year,Great Britain,,,,,,,,,,9401998000,60258,5.06027E+12,03/06/2024
AC000062,NYLONBASE,Nylon 5-Star Base,Accessory,Dynamic,,51, SOLD SEPARATELY: Castors and Gas Lift,5-Star base finished in sleek black.,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,,Nylon,Black,Black,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,false,125,,,Black,,,Nylon,1,3-May,Yes,No,4.95,15.95,,,1 Year,1 Year,China,,,,,,,,,,9401998000,60258,5.06027E+12,03/06/2024
